OBJECTID,CBSAFP10,GEOID10,NAME10,NAMELSAD10,LSAD10,MEMI10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GISJOIN,F1900_mean,F1910_mean,F1920_mean,F1930_mean,F1940_mean,F1950_mean,F1960_mean,F1970_mean,F1980_mean,F1990_mean,F2000_mean,F2010_mean,F2020_mean,Shape_Leng,Shape_Area,InPoly_FID,SimPgnFlag,MaxSimpTol,MinSimpTol
"1","17260","17260","Clarksdale, MS","Clarksdale, MS Micro Area",M2,"2",G3110,1430818231,79539470,"+34.2286699","-090.6031650",G17260,0.00024823135,0.00210996649,0.00558520541,0.0092259319,0.01427330272,0.01923792975,0.02333374705,0.02709858922,0.03152538166,0.03359397625,0.03719333085,0.03979976004,0.04716395681,2.50168348496,0.14797053097,"1","0",0.00224830512,0.00224830512
"2","40060","40060","Richmond, VA","Richmond, VA Metro Area",M1,"1",G3110,14723982685,400724403,"+37.5227344","-077.5210148",G40060,0.01387708042,0.01704151926,0.02283538697,0.02989005338,0.0407022317,0.05686450976,0.07876259243,0.10402004006,0.14146659091,0.17839472124,0.21960707872,0.25478916874,0.29644114683,8.18622631404,1.53597293792,"2","0",0.00224830512,0.00224830512
"3","13700","13700","Big Spring, TX","Big Spring, TX Micro Area",M2,"2",G3110,2333038341,8841951,"+32.3035834","-101.4385304",G13700,8.005764e-05,0.00117417874,0.00170789635,0.00368265151,0.00483014437,0.00723187362,0.01360979906,0.0191604622,0.02329677368,0.02740639927,0.03100899314,0.03786726443,0.05385210685,1.89992588853,0.22416061197,"3","0",0.00224830512,0.00224830512
"4","19100","19100","Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX Metro Area",M1,"1",G3110,23122123423,926489485,"+32.8672144","-096.9331637",G19100,0.0039925763,0.0069844092,0.01329299168,0.02167584231,0.03222653712,0.04931195641,0.07550024174,0.10920579963,0.16038927619,0.21745764386,0.2784769985,0.33329694266,0.37912839148,8.63772836475,2.31774846439,"4","0",0.00224830512,0.00224830512
"5","40100","40100","Rio Grande City-Roma, TX","Rio Grande City-Roma, TX Micro Area",M2,"2",G3110,3168018574,15302285,"+26.5463354","-098.7158034",G40100,3.925648e-05,3.925648e-05,3.925648e-05,0.00011776945,0.00021591065,0.00056921899,0.00105992502,0.00274795376,0.0060651265,0.01116846919,0.01640920957,0.02111998744,0.02822541072,2.55757784409,0.28828414968,"5","0",0.00224830512,0.00224830512
"6","37580","37580","Paris, TX","Paris, TX Micro Area",M2,"2",G3110,2349611989,67113408,"+33.6672628","-095.5703477",G37580,0.00043939002,0.00080124063,0.00165417421,0.00261049367,0.00372189196,0.00478159731,0.00697854743,0.01238046007,0.02062548462,0.04357715172,0.07596278108,0.08997156888,0.11713621091,2.33027705969,0.23537494761,"6","0",0.00224830512,0.00224830512
"7","34860","34860","Nacogdoches, TX","Nacogdoches, TX Micro Area",M2,"2",G3110,2451520148,89745988,"+31.6205598","-094.6202497",G34860,0.00041815275,0.00059033329,0.0010822777,0.00174640266,0.00248431927,0.00356659697,0.00504243021,0.01013405485,0.02250645677,0.03495265035,0.05768048211,0.07401303653,0.12281392203,2.97207748916,0.24189178044,"7","0",0.00224830512,0.00224830512
"8","39700","39700","Raymondville, TX","Raymondville, TX Micro Area",M2,"2",G3110,1529528675,501715776,"+26.4810918","-097.5842235",G39700,0,7.996162e-05,0.00015992324,0.0013193667,0.00503758196,0.00847593155,0.01075483768,0.01219414681,0.01435311051,0.01715176715,0.02150967536,0.024308332,0.03266432113,5.24236466233,0.14082418358,"8","0",0.00224830512,0.00224830512
"9","47220","47220","Vineland-Millville-Bridgeton, NJ","Vineland-Millville-Bridgeton, NJ Metro Area",M1,"1",G3110,1252784157,502245900,"+39.3283874","-075.1216435",G47220,0.07395513804,0.08301380368,0.1014666411,0.12739647239,0.14340490798,0.1673696319,0.19823619632,0.22335122699,0.24180406442,0.26092791411,0.27698427914,0.2890625,0.3292273773,2.21459819861,0.13617123439,"9","0",0.00224830512,0.00224830512
"10","29660","29660","Laramie, WY","Laramie, WY Micro Area",M2,"2",G3110,11069193896,90515065,"+41.6655141","-105.7218826",G29660,0.00078963727,0.00096884573,0.00125445921,0.00174728247,0.00221770468,0.00257612159,0.00317534988,0.00408819296,0.00530345032,0.00618829209,0.00769476319,0.00937484249,0.01042209192,5.37489095213,1.20526335257,"10","0",0.00224830512,0.00224830512
